alpha,sigma,model,model_short,elo_model_name,elo,num_runs,avg_utility,std_utility
1.0,1.0,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,26.5,7.5
1.0,1.0,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,19.080000000000002,1.9800000000000004
1.0,1.0,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,50.175,3.8249999999999993
1.0,1.0,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,1,76.0,0.0
1.0,1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,32.150000000000006,10.150000000000002
1.0,1.0,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,36.55,1.4499999999999993
1.0,1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,22.0,11.0
1.0,1.0,qwq-32b,QwQ-32B,qwq-32b,1336,2,39.0,1.0
1.0,1.0,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,29.5,29.5
1.0,1.0,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,35.655,5.655000000000001
1.0,1.0,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,48.875,2.875
1.0,1.0,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,40.95,2.25
1.0,1.0,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,57.0,3.0
1.0,1.0,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,50.05,1.4499999999999993
1.0,1.0,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,40.775000000000006,3.775000000000002
1.0,1.0,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,46.35,14.850000000000001
1.0,1.0,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,22.275000000000002,14.985000000000003
1.0,1.0,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,47.0,3.0
1.0,1.0,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,52.5,0.5
1.0,1.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,38.25,11.25
1.0,1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,42.120000000000005,11.34
1.0,1.0,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,59.8185,6.601499999999998
1.0,1.0,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,54.5,1.5
1.0,1.0,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,45.11835,14.281649999999999
1.0,1.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,45.95,9.05
