experiment_id,experiment_type,model_alpha,model_beta,model_alpha_short,model_beta_short,model_order,rho,theta,n_issues,consensus,final_round,exploitation,alpha_util,beta_util,social_welfare,util_ratio,token_budget,model_pair,adversary_model,adversary_short,adversary_elo
234,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.0,1.0,5,True,9,True,0.305045376397403,0.41584236672655356,0.7208877431239565,0.7335601199047436,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
235,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.0,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
236,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.0,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
237,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.0,1.0,5,True,8,True,0.4340125675159065,0.4263349944591118,0.8603475619750183,1.0180083107335234,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
238,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.0,1.0,5,True,5,True,0.4673249611291248,0.6397920267867827,1.1071169879159075,0.730432611791309,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
239,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.0,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
240,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.0,5,True,5,True,0.5732404912338162,0.6290521772262235,1.2022926684600397,0.9112765395097965,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
241,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
242,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.0,5,True,1,True,0.964361842798395,0.7564774837410131,1.7208393265394082,1.2748057457431912,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
243,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
244,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.0,5,True,5,True,0.6328526384752102,0.4945552327611123,1.1274078712363225,1.2796399604185373,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
245,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.0,5,True,1,False,0.978163666937922,0.7463357099864137,1.7244993769243357,1.3106215525393103,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
246,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.25,5,True,9,True,0.41125284634113746,0.38853481194885026,0.7997876582899877,1.0584710396433614,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
247,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.25,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
248,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.25,5,True,10,True,0.2731533926173161,0.3712614516092767,0.6444148442265928,0.7357440192977224,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
249,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.25,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
250,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.25,5,True,10,True,0.3781443332977719,0.2322234013001984,0.6103677345979703,1.628364459311917,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
251,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.25,5,True,10,True,0.37072378121478944,0.290646343905164,0.6613701251199534,1.2755150339539596,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
252,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.5,5,True,6,True,0.5739398521153583,0.5089097835540491,1.0828496356694073,1.12778309763896,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
253,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.5,5,True,4,True,0.5889432520230863,0.6202572292532836,1.20920048127637,0.9495145308215179,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
254,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.5,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
255,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.5,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
256,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.5,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
257,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.5,5,True,10,True,0.3727808328246733,0.3231055419611362,0.6958863747858095,1.153743233749646,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
258,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.75,5,True,2,True,0.7352517178289935,0.8755319638432209,1.6107836816722143,0.8397771277264904,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
259,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.75,5,True,4,True,0.6968275851669848,0.4369980157887635,1.1338256009557484,1.5945783733348071,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
260,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,0.75,5,True,6,True,0.5588412862503909,0.4960742369021492,1.05491552315254,1.1265275329358064,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
261,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.75,5,True,1,True,0.9895618437793696,0.6339274784326827,1.6234893222120523,1.5610016562556248,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
262,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.75,5,True,8,True,0.41095504901775964,0.4362319718200299,0.8471870208377895,0.9420562351337733,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
263,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,0.75,5,True,1,False,0.8378872295095521,0.7811889027402534,1.6190761322498055,1.072579534310347,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
264,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
265,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,1.0,5,True,5,True,0.5054539441076442,0.6413699717859027,1.146823915893547,0.788084828324908,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
266,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,0.5,1.0,5,True,8,True,0.4278708828497425,0.24055776312267238,0.6684286459724149,1.778661712245594,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
267,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
268,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,1.0,5,True,3,True,0.6089321865716886,0.7619609684978436,1.370893155069532,0.799164539585484,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
269,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,0.5,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
270,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.0,5,True,1,False,0.9152730765698679,0.9318730738619753,1.8471461504318432,0.982186418131697,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
271,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.0,5,True,9,True,0.4178988561320067,0.4071109222468982,0.825009778378905,1.026498758189951,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
272,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.0,5,True,5,True,0.6401940757228182,0.6507964213091875,1.2909904970320056,0.983708660282672,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
273,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.0,5,True,1,False,0.9588726012724298,0.9611978414999267,1.9200704427723565,0.9975808932073043,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
274,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.0,5,True,2,True,0.8840895942635767,0.8931657743150222,1.777255368578599,0.9898381909467969,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
275,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.0,5,True,6,True,0.5616916042752301,0.5009568411949845,1.0626484454702148,1.1212375160610017,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
276,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.25,5,True,3,True,0.7866731332231032,0.7165637898825916,1.5032369231056948,1.097841035690624,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
277,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.25,5,True,3,True,0.7991038161872699,0.7919940795006088,1.5910978956878787,1.008977007367459,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
278,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.25,5,True,2,True,0.8926492916481163,0.8850193116299333,1.7776686032780495,1.008621258223316,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
279,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.25,5,True,5,True,0.6188977548376473,0.629371960065712,1.2482697149033593,0.9833576868804719,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
280,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.25,5,True,2,True,0.8779967786042607,0.8833201511798874,1.7613169297841482,0.9939734505450646,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
281,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.25,5,True,1,True,0.9645483822383851,0.9732440701198093,1.9377924523581944,0.9910652546998271,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
282,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.5,5,True,4,True,0.7147583886195338,0.7092161216207415,1.4239745102402752,1.0078146376398307,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
283,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.5,5,True,4,True,0.7086978056957175,0.7026078741456753,1.4113056798413928,1.0086676107315864,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
284,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.5,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
285,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.5,5,True,4,True,0.6230748347328593,0.6512199397065862,1.2742947744394455,0.9567809533190769,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
286,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.5,5,True,1,True,0.9543043052457885,0.9523648314916406,1.906669136737429,1.0020364819132497,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
287,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.5,5,True,1,True,0.8368633759827596,0.8746519239798531,1.7115152999626129,0.9567959013625128,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
288,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.75,5,True,2,True,0.8832710094964565,0.871489708114085,1.7547607176105415,1.01351857775563,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
289,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.75,5,True,1,False,0.9724356611748308,0.962718679735138,1.935154340909969,1.0100932719435403,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
290,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,0.75,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
291,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.75,5,True,2,True,0.8784186254015283,0.8775150644085955,1.7559336898101239,1.0010296814602742,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
292,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.75,5,True,4,True,0.6919833513045105,0.6753924005172508,1.3673757518217613,1.0245649059340223,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
293,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,0.75,5,True,2,True,0.8751977514399542,0.8855494287370217,1.7607471801769758,0.9883104466434683,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
294,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
295,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,1.0,5,True,8,True,0.44138123526220513,0.4413812348127614,0.8827624700749666,1.0000000010182664,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
296,model_scale,gpt-5-nano,gpt-3.5-turbo-0125,GPT-5-nano,GPT-3.5,weak_first,1.0,1.0,5,True,10,True,0.37591611869140257,0.3759161200722449,0.7518322387636475,0.9999999963267275,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
297,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,1.0,5,True,1,False,0.9323650931376231,0.9323650963182719,1.864730189455895,0.999999996588623,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
298,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,1.0,5,True,2,True,0.8492920424050674,0.849292040286569,1.6985840826916365,1.0000000024944287,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
299,model_scale,gpt-3.5-turbo-0125,gpt-5-nano,GPT-3.5,GPT-5-nano,strong_first,1.0,1.0,5,True,3,True,0.7205221091817993,0.720522110064698,1.4410442192464972,0.9999999987746403,,GPT-5-nano vs GPT-3.5,gpt-3.5-turbo-0125,GPT-3.5,1105
450,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.0,5,True,10,True,0.19994093373879593,0.341876011844196,0.541816945582992,0.5848346383247137,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
451,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.0,5,True,10,True,0.18559961852478465,0.3775303758268415,0.5631299943516261,0.4916150604260569,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
452,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
453,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.0,5,True,10,True,0.35803378577423894,0.3212089466904881,0.679242732464727,1.1146444999841012,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
454,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
455,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
456,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.25,5,True,10,True,0.08286633225902952,0.35688565212339846,0.43975198438242796,0.23219294966326431,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
457,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.25,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
458,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.25,5,True,10,True,0.11343001121937552,0.3704799831625621,0.4839099943819376,0.3061704177674933,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
459,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.25,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
460,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.25,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
461,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.25,5,True,10,True,0.3517810860103893,0.19636937948314123,0.5481504654935305,1.7914253583542568,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
462,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.5,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
463,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.5,5,True,10,True,0.23416514582982118,0.35709462524015684,0.5912597710699781,0.6557509670506468,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
464,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.5,5,True,10,True,0.07450329177473816,0.36016230703719315,0.43466559881193134,0.2068603246897915,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
465,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.5,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
466,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.5,5,True,10,True,0.33898293413256647,0.2542831139933101,0.5932660481258766,1.3330925864840744,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
467,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.5,5,True,8,True,0.46594974740099065,0.192675416102572,0.6586251635035627,2.418314473253502,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
468,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.75,5,True,10,True,0.18224300024016898,0.351629038428486,0.533872038668655,0.5182819970007495,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
469,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.75,5,True,9,True,0.2592389512941024,0.3941066028973469,0.6533455541914492,0.6577889063219438,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
470,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,0.75,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
471,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.75,5,True,10,True,0.2903136323483712,0.21668199725007248,0.5069956295984437,1.3398142717565988,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
472,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.75,5,True,6,True,0.540285790523518,0.4044815060953692,0.9447672966188871,1.3357490574516617,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
473,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,0.75,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
474,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,1.0,5,True,3,True,0.5397758736577991,0.7479798181352858,1.2877556917930848,0.7216449703194676,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
475,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,1.0,5,True,10,True,0.25723970731345464,0.2707799372991346,0.5280196446125892,0.9499954460410343,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
476,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-1.0,1.0,5,True,4,True,0.3580927935007306,0.675139517405713,1.0332323109064436,0.5303982129156589,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
477,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,1.0,5,True,10,True,0.3586005692534677,0.26527966385602186,0.6238802331094896,1.3517831108535139,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
478,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,1.0,5,True,4,True,0.6510810503362499,0.45594610151838827,1.1070271518546382,1.4279781056752643,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
479,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-1.0,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
480,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-0.5,0.0,5,True,1,True,0.6712650166476066,0.8593018262130022,1.5305668428606087,0.7811748982379267,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
481,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-0.5,0.0,5,True,1,True,0.651917473662502,0.9131155804767621,1.565033054139264,0.7139484722428221,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
482,model_scale,gpt-5-nano,gpt-4o,GPT-5-nano,GPT-4o,weak_first,-0.5,0.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
483,model_scale,gpt-4o,gpt-5-nano,GPT-4o,GPT-5-nano,strong_first,-0.5,0.0,5,True,5,True,0.6015305392694101,0.4409963702114177,1.0425269094808278,1.3640260553188475,,GPT-5-nano vs GPT-4o,gpt-4o,GPT-4o,1346
